name,ra_deg,dec_deg,amp,sigma,snr,above_threshold
GSAT-8_(GAGAN/PRN_127),298.9287018677238,2.639863900455062,0.032474182659687725,0.004582769447738866,7.086148022504264,False
GSAT-10_(GAGAN/PRN_128) [+2 blended],279.45979960476365,3.573841068942885,0.1003739481285561,0.005233115154470724,19.180534952074428,True
GSAT-15_(GAGAN/PRN_139) [+1 blended],271.86200945935764,3.553376971167836,0.02799324072486688,0.003699271618268524,7.5672304208819785,False
QZS-3_(QZSS/PRN_199) [+1 blended],265.4957921025984,4.077845022041018,0.030589810684418784,0.004942040536645295,6.189712621253294,False
QZS-4_(QZSS/PRN_195),313.73714655513754,-26.571795606875,0.020943970402934123,0.001622092218503593,12.911701421177696,False
BEIDOU-3_G2_(PRN_144),281.5818585239788,2.103895475503748,0.07533122631630526,0.00813935800365153,9.255180357284898,False
QZS-1R_(QZSS/PRN_196),261.21514699450154,9.130269506723218,0.0014854163405353606,0.0016248429624542294,0.914190709415836,False
QZS-6_(QZSS/PRN_200),275.98841239874514,3.910334395029156,0.04675584792474651,0.003940766522325186,11.864658223182168,False
GPS_BIIR-5__(PRN_22),233.9967227815249,19.911640640329097,0.012900578202214236,0.0016655823755629174,7.745385873126944,False
GPS_BIIR-11_(PRN_19),254.32886508682097,-46.41072014991969,0.01247851056958799,0.001648624813337836,7.569042069871416,False
GPS_BIIRM-1_(PRN_17),271.72032230695515,-26.60039534526537,0.020490764749723885,0.001636748423983946,12.519190151317273,False
GPS_BIIRM-3_(PRN_12),128.27743867835227,-51.81225415172101,0.005926684598141493,0.0016776854644508872,3.5326553896569157,False
GPS_BIIRM-8_(PRN_05),181.55908678235463,42.97377311851816,0.001808757572098138,0.0016690527881434401,1.0837030350071177,False
GPS_BIIF-6__(PRN_06),215.49206785977668,-60.46664136285159,0.019886078342790096,0.0016573123468578033,11.99899245334972,False
GPS_BIIF-7__(PRN_09),291.08977006068324,2.262776563294043,0.004881504845537135,0.0022518443587028953,2.1677807467781536,False
GPS_BIII-1__(PRN_04),311.6035671029843,-18.82555980602825,0.01626048045809565,0.001658041457358552,9.807040943355203,False
GPS_BIII-4__(PRN_14),237.7845583197459,29.84870188767519,0.04523951556233475,0.0017025715845453003,26.571285444316107,True
GPS_BIII-5__(PRN_11),167.9059235122807,-22.637830395526343,0.04524073897256114,0.001664048127075656,27.187157772933972,True
GPS_BIII-8__(PRN_21),193.7205061339825,36.84298089582843,0.0029684054050482483,0.0016778563313059386,1.7691654223683306,False
GPS_BIII-10_(PRN_13),112.79159424776016,-50.016337015850574,0.008785724263539614,0.0016500970141481604,5.324368317868341,False
GSAT0102_(GALILEO-FM2),149.35440243117944,16.492343069307434,0.019996273095853837,0.0016307313116963869,12.262150700382692,False
GSAT0203_(GALILEO_7),242.8274181107252,-62.28156712231339,0.030250080285119336,0.0016599901226994251,18.223048361232163,False
GSAT0210_(GALILEO_13),225.84162555453923,1.5325889684786491,0.011933670331694556,0.0016512477832061158,7.227062136321998,False
GSAT0207_(GALILEO_15),301.1345682991668,0.3020316194617328,0.0066063135101208335,0.0020319617949869275,3.2511996664599367,False
GSAT0215_(GALILEO_19),242.4602425982038,23.988842835192592,0.010901315645809423,0.0016660384035995463,6.543255919105269,False
GSAT0218_(GALILEO_22),151.63492689516704,-52.21519071972085,0.001993048240251589,0.0017614707892311561,1.1314682323636551,False
GSAT0222_(GALILEO_26),178.76066470395926,-28.105916714218846,0.020218327919375452,0.001628971190719107,12.411716078569873,False
GSAT0220_(GALILEO_24),323.40275602720857,-40.76969344290276,0.011737893645050294,0.0016922889895404439,6.936104718283266,False
GSAT0225_(GALILEO_29),271.4304716545598,40.81608761358428,0.025330986700769307,0.0016579192018341135,15.278782387432564,False
GSAT0226_(GALILEO_31),208.5856186882989,-20.84972267552578,0.01633518074947209,0.001600872080838732,10.203926313034163,False
BEIDOU-2_IGSO-2_(C07) [+1 blended],286.3113749400411,9.130539619980828,0.05482460815722395,0.00463519576317636,11.827894863205152,False
BEIDOU-2_IGSO-3_(C08),300.23368077249035,-59.91599524188799,0.013713266648681654,0.001724253814393245,7.953160105669984,False
BEIDOU-2_G5_(C05),293.54630077141496,1.5956088661365098,0.03137438101479363,0.004387925888087798,7.150162016174386,False
BEIDOU-2_M4_(C12),133.62034301026014,-17.283850179982554,0.011603842446969492,0.0016903918693838313,6.864587233964416,False
BEIDOU-3S_M1S_(C57),222.70911255620183,-63.54962286624281,0.010400921446673018,0.0020166450352655323,5.157537030458871,False
BEIDOU-3S_IGSO-2S_(C56),289.4333107288493,26.620844710491856,0.01840999886804392,0.0016323662260915668,11.278105717810421,False
BEIDOU-2_IGSO-6_(C13),294.57733661725695,-57.42472269074159,0.003346755918878055,0.001713358169377065,1.9533311707352197,False
BEIDOU-3_M1_(C19),269.33302476503707,-11.654634399853814,0.014151762937076021,0.0015722048599213806,9.001220704650214,False
BEIDOU-3_M2_(C20),310.0954271073886,-43.543711994108826,0.01380064308675459,0.0017376898735991676,7.941948270763751,False
BEIDOU-3_M4_(C22),237.67757009865107,33.5257762997502,0.01804059725829688,0.0017365531076594194,10.388739151555555,False
BEIDOU-3_M9_(C29),296.8398077911458,-27.11356330350244,0.0043211869672202625,0.0016634699203674456,2.5976946828505025,False
BEIDOU-3_M6_(C24),136.0004335386109,-37.683186846226064,0.027600143667711793,0.0017112342068608098,16.128793801021043,False
BEIDOU-3_M12_(C26),172.28241087562466,-4.629778335267002,0.03821708407435205,0.0017017227166933769,22.45787971180863,True
BEIDOU-3_M16_(C35),219.4804212682299,-62.61262549166373,0.029249259609220066,0.0020693138172927293,14.134762627491028,False
BEIDOU-3_IGSO-1_(C38),283.0405833471549,-53.716207890854925,0.014342554146744829,0.001630183425131297,8.798122914045493,False
BEIDOU-3_M23_(C45),211.34294942692253,41.350518741376646,0.010320183548129554,0.001612527229412145,6.4000057548744955,False
BEIDOU-3_M22_(C44),150.38467588577174,-40.28124788442451,0.0066461124624537906,0.001656694956102009,4.011669401161963,False
BEIDOU-3_G2_(C60),284.41513759000014,1.630057478250383,0.01789040279239389,0.0026427816774978025,6.769534897537432,False
