name,ra_deg,dec_deg,amp,sigma,snr,above_threshold
GSAT-8_(GAGAN/PRN_127),296.6169986037645,2.7041346487941342,0.0484859522881565,0.012822193860874858,3.7814084558575143,False
GSAT-10_(GAGAN/PRN_128) [+2 blended],277.15054541711777,3.543109057878162,0.06500167466682283,0.006388725893068669,10.174434739381322,False
GSAT-15_(GAGAN/PRN_139) [+1 blended],269.55004416610416,3.522865240909031,0.03217295902350965,0.004368735128438171,7.364364759511416,False
QZS-3_(QZSS/PRN_199) [+1 blended],263.1814251797349,4.068660713498828,0.025142688474628465,0.005948308888855936,4.226863289116155,False
QZS-4_(QZSS/PRN_195),311.24169295390624,-27.83465411173929,0.03128186945076765,0.001785533411387849,17.51962144827806,False
BEIDOU-3_G2_(PRN_144),279.2703284933721,2.172681472721462,0.016415696535306723,0.00729834118886549,2.2492366567283635,False
QZS-1R_(QZSS/PRN_196),259.4052907327358,10.64415895264762,0.009467533594329482,0.0017373562898137828,5.449390922194924,False
QZS-6_(QZSS/PRN_200),273.67594830315176,3.941985015847719,0.025116098275910933,0.004218988829857722,5.953108502721001,False
GPS_BIIR-5__(PRN_22),231.0891125502688,15.302002143123824,0.021676663497457924,0.001773397036796551,12.223243327740336,False
GPS_BIIR-11_(PRN_19),249.0283017661863,-50.144400489120834,0.011616334177924044,0.0017662703077931685,6.576759019653024,False
GPS_BIIRM-1_(PRN_17),268.4005196637778,-31.07344300337162,0.028736208283177925,0.0018124128663640992,15.855221962105102,False
GPS_BIIRM-3_(PRN_12),120.4092977593312,-51.758297845019776,0.009666111362785291,0.0017710719214687571,5.457774608480691,False
GPS_BIIRM-8_(PRN_05),176.93641449459722,46.49808825661937,0.013792265023061129,0.0018276618029283683,7.546398902117719,False
GPS_BIIF-6__(PRN_06),207.09516501757275,-57.53551751367426,0.003823789077721882,0.0017941510348757944,2.1312526110638146,False
GPS_BIIF-7__(PRN_09),288.4065138909238,6.46287769514418,0.014546902155650068,0.001880181715714626,7.736966078367074,False
GPS_BIII-1__(PRN_04) [+1 blended],308.2104212257129,-14.981956419888975,0.007370037524540303,0.004862138497395893,1.515801643348418,False
GPS_BIII-4__(PRN_14),234.55931536674507,25.65736278857431,0.02803865043000485,0.0017866024205363984,15.693838823741602,False
GPS_BIII-5__(PRN_11),165.01731446019392,-18.17102561002993,0.06401826678100743,0.001752102008421362,36.53797922341729,True
GPS_BIII-8__(PRN_21),189.8017091672689,40.69617174413541,0.012694732562153515,0.001846211788060038,6.876097663471688,False
GSAT0102_(GALILEO-FM2),146.96742247113391,19.931723887273755,0.005723402865963741,0.0017774071560517151,3.220085418513536,False
GSAT0203_(GALILEO_7),234.34234288659,-60.89261103719701,0.018132230242850683,0.001766012813030949,10.26732654998745,False
GSAT0210_(GALILEO_13),223.59040160601143,-2.4840852886770515,0.01894087273590212,0.0017984244087160424,10.531925970369068,False
GSAT0207_(GALILEO_15) [+1 blended],298.8728261455927,3.703863171863078,0.02418182173975606,0.01150044343134791,2.1026860298135333,False
GSAT0215_(GALILEO_19),239.9847757728729,20.2818900300574,0.020877465098532368,0.0018243164755762794,11.44399306701291,False
GSAT0218_(GALILEO_22),144.73503173932122,-53.33070551156937,0.015179810784721798,0.001820019527742864,8.340465886949776,False
GSAT0222_(GALILEO_26),176.31635774431976,-24.28616460937927,0.007925192498475172,0.001787608746624436,4.433404408789346,False
GSAT0220_(GALILEO_24),319.7912250791858,-43.57605417835936,0.015028170313190146,0.0017856310721723811,8.41616756528941,False
GSAT0225_(GALILEO_29),268.4497483677543,43.908334117979656,0.021093539287879454,0.0017673945095427132,11.934822233513156,False
GSAT0226_(GALILEO_31),205.77760395781445,-24.75375948542304,0.008481063340746936,0.0017808428987065798,4.76238715212145,False
BEIDOU-2_IGSO-2_(C07) [+1 blended],284.791992384499,7.323109153681894,0.024538228945209628,0.004956844051042874,4.950373401407901,False
BEIDOU-2_IGSO-3_(C08),295.612440187182,-59.07947313557009,0.0032720044957271596,0.0017932014096150872,1.824672051997494,False
BEIDOU-2_G5_(C05),291.2333917585154,1.707415789168328,0.04695460389013002,0.004730523027322935,9.9258799965513,False
BEIDOU-2_M4_(C12),131.1701317409715,-13.623625205009144,0.0032905011822100733,0.0017936705755937912,1.8345069752402887,False
BEIDOU-3S_M1S_(C57) [+1 blended],212.2763198613553,-63.43243961947085,0.010351130432830211,0.0021555836042768204,4.80200833421301,False
BEIDOU-3S_IGSO-2S_(C56),287.6581952197524,24.90463245357804,0.01400678127996877,0.0017543390347404084,7.984078905273501,False
BEIDOU-2_IGSO-6_(C13),290.31947938002065,-56.47650938786583,0.010542883940621535,0.0017839183238179714,5.909958880885018,False
BEIDOU-3_M1_(C19),266.6619307613934,-7.42176052017043,0.027397036493465615,0.0017700523360348692,15.478094029037742,False
BEIDOU-3_M2_(C20),304.60581278276555,-40.966009815598376,0.02672656875429724,0.001767911732614347,15.11759227638283,False
BEIDOU-3_M4_(C22),234.79704334794403,37.41700093461742,0.0175277549119623,0.0018003721684724384,9.735628676616386,False
BEIDOU-3_M9_(C29),293.8397868106339,-30.733668820301705,0.00405361489764277,0.0018169015782502837,2.2310591537635682,False
BEIDOU-3_M6_(C24),130.79315391865234,-40.260890897214615,0.0170831691696878,0.001741815360851723,9.807680856215653,False
BEIDOU-3_M12_(C26),169.50276483599873,-8.738264738964203,0.03108212700325474,0.001764235187372805,17.617904475389366,False
BEIDOU-3_IGSO-1_(C38),279.45858051585657,-52.42429812824668,0.010967016129791615,0.0018092595603219502,6.061604631145395,False
BEIDOU-3_M23_(C45),207.9463208175425,37.70969394120124,0.013886740979590804,0.0017686122322292895,7.85177255168417,False
BEIDOU-3_M22_(C44),146.67754008110347,-36.85044418948727,0.008734060686167553,0.001817670851194618,4.805083758936506,False
BEIDOU-3_G2_(C60),282.1033603893417,1.7087531683752717,0.0030110787875316978,0.002609974812325055,1.1536811670796645,False
BEIDOU-3_M26_(C48),286.5565003525618,-29.382499519264687,0.003755390483514412,0.0017865236914730092,2.1020658732031983,False
Sun,226.44861409833243,-17.44080156394426,0.04086853361317723,0.001779318527200352,22.96864388720852,True
3C274,187.7058115834913,12.39106843041866,0.006640793249042928,0.001741115337395012,3.8141030099583295,False
J1830-3602,277.7458256917555,-36.04167248470381,0.020487167448449754,0.0017865777382101648,11.467268963607637,False
UNMODELLED:ASTRA 5B (EGNOS/PRN 123),294.4993915356873,3.217621168796174,0.06469467363226926,0.005469781675616134,11.827651900746448,False
UNMODELLED:BEIDOU-2 G6 (C02),278.0805082403602,2.436194804614845,0.01165657044647224,0.009015191900779533,1.2929919379158539,False
UNMODELLED:BEIDOU-2 G7 (C03),270.8097971943541,3.363633523809613,0.021927331482425448,0.008167131120816367,2.6848266739023097,False
UNMODELLED:BEIDOU-2 IGSO-5 (C10),285.2695620917275,8.203929343503127,0.01970779034044404,0.004834971458610747,4.076092384236486,False
UNMODELLED:BEIDOU-3 G3 (C61),276.2807875869802,2.9046969259570763,0.08563332945191096,0.007794509218180355,10.986365793522308,False
UNMODELLED:BEIDOU-3 G3 (PRN 143),262.63362466496784,3.4825829333623735,0.02128698548777486,0.005990646707522033,3.553370199755945,False
UNMODELLED:BEIDOU-3 G4 (C62),300.0081033067922,2.840626851985951,0.03727457703752501,0.0028296764969360268,13.172734437270803,False
UNMODELLED:BEIDOU-3 M16 (C35),209.26845368143265,-62.42524633621551,0.03064478780219715,0.0021136277657386963,14.498668260769671,False
UNMODELLED:BEIDOU-3 M25 (C47),307.4158838780278,-15.791204050603762,0.02260282948296799,0.004932865421387944,4.58208922241554,False
UNMODELLED:EUTELSAT 5 WEST B (EGN*),212.22953181205483,3.108425553018524,0.014875610286326757,0.0017643728664748102,8.431103520679274,False
UNMODELLED:INMARSAT 4-F2 (SOUTHPA*),290.556298596097,-0.7755938311786232,0.020735701251686323,0.003098626376439541,6.691901098290063,False
UNMODELLED:LUCH 5B (SDCM/PRN 125),163.03935817230652,13.353887760438411,0.0010078057064983146,0.0018245730760124324,0.5523515170468555,False
UNMODELLED:LUCH 5V (SDCM/PRN 141),269.58238303881575,2.617892638045785,0.021985879602670514,0.005517151827824477,3.9850053594301724,False
UNMODELLED:SES-5 (EGNOS/PRN 136),255.62852019435263,3.200098982185815,0.008686550212853446,0.00175400990217151,4.952395195773565,False
