ra_deg,dec_deg,image_peak,vis_snr,best_window_split,best_window_index,zenith_deg,elevation_deg,local_null_scale,snr_normalised,threshold_here,nearest_catalogue_deg,nearest_catalogue,passes_single_look,not_near_catalogue,confirmed
107.14841864237663,-73.54694481128732,0.04215380904183736,16.441087238771328,1,0,73.86592950125525,16.134070498744748,17.020850718457144,0.9659380433284025,26.78150347641217,22.405708175367227,GPS BIIRM-3 (PRN 12),False,True,False
304.8241107184289,-82.4548602981974,0.05353577789769521,18.68658670489938,1,0,67.41522683861109,22.58477316138891,16.771560580473874,1.1141829417266664,26.38925723634648,24.32205251504862,BEIDOU-2 IGSO-3 (C08),True,True,False
136.36118411238192,-83.66157470172203,0.039466626764396336,13.810999846269372,1,0,66.6215702500143,23.3784297499857,16.7370507643741,0.8251752379019476,26.334957673114648,25.4166161226379,BEIDOU-3S M1S (C57),False,True,False
302.6532450143171,-61.75533456663669,0.0591437628577744,18.875513336801976,1,0,68.24561646544055,21.75438353455945,16.807667624407966,1.123029902696975,26.446069962022715,6.147701995003933,BEIDOU-2 IGSO-3 (C08),True,True,False
290.9391880283434,-51.63720705566829,0.05150407534942975,13.35127583134125,1,0,62.66580898379982,27.33419101620018,16.565046152060564,0.805990862251866,26.064316551890393,4.578471832363527,BEIDOU-2 IGSO-6 (C13),False,True,False
216.01973747815896,-57.64587872344176,0.07667009514675488,21.018982932280647,1,0,35.15631792807393,54.84368207192607,20.102552233025175,1.0455877785383851,31.630415037346744,6.809464692122886,GSAT0203 (GALILEO 7),True,True,False
144.3565002092821,-44.57026737143419,0.06425273400650372,17.596622073547568,1,0,62.335545256372754,27.664454743627246,16.550685607888575,1.0631959600006218,26.041720914925655,9.818215004391172,GSAT0218 (GALILEO 22),True,True,False
261.89427173319575,-52.0183048419014,0.042845792890647556,13.814660035838015,1,0,45.18981230871979,44.81018769128021,18.29321942435907,0.7551792669934605,28.783515448906535,9.338409018309756,BEIDOU-3 IGSO-1 (C38),False,True,False
309.9130048119293,-31.342905985014546,0.054175566704133656,15.950630373480895,1,0,80.8123175955496,9.187682404450399,17.22819108351428,0.9258447561998608,27.107743733108432,2.6503115803346953,QZS-4 (QZSS/PRN 195),False,False,False
193.57441893536623,-51.08157993895169,0.07965435069904675,21.556320279969732,1,0,33.89478698130387,56.10521301869613,19.855068518322003,1.0856834999122684,31.24101111886392,6.319633037369655,GPS BIIF-6  (PRN 06),True,True,False
177.07986523279843,-46.83569266470949,0.07588303071365704,22.309541912323635,1,0,40.230680371590026,49.769319628409974,20.339401311603716,1.096863254258912,32.003085858932515,17.453174601848257,GPS BIIF-6  (PRN 06),True,True,False
260.16882969563994,-40.22617889173402,0.08171030861244549,27.9150141980791,1,0,40.355908156188185,49.644091843811815,20.287731215330204,1.375955443306811,31.921785406571754,7.410677439624238,GPS BIIRM-1 (PRN 17),True,True,False
275.6274385302836,-34.17890604406507,0.05857719090686193,16.554946568675415,1,0,52.15857992238942,37.84142007761058,15.850277171598123,1.0444578595975582,24.939661371504577,8.12598496073851,GPS BIIRM-1 (PRN 17),True,True,False
292.9819337534557,-25.680669618705085,0.027584900901774075,9.871116389938164,1,0,68.39163246790858,21.60836753209142,16.814016699644277,0.5870766376809297,26.456059931579812,7.7822524655389085,BEIDOU-3 M9 (C29),False,True,False
135.49125384367244,-20.683081294084648,0.049873970271209385,15.574676240040539,1,0,74.81229494801254,15.187705051987464,17.049891038835288,0.9134765849567843,26.827197046846933,11.36880757342251,BEIDOU-2 M4 (C12),False,True,False
215.34258271739074,-35.01160225936883,0.08425054681406369,20.04220289216446,1,0,12.602911163437762,77.39708883656223,17.600557782042607,1.1387254392933501,27.693645119360678,12.470122418249778,GSAT0226 (GALILEO 31),True,True,False
279.1110385307509,-19.117512971769965,0.08513959479437222,22.712991188551374,1,0,57.69925096344514,32.30074903655486,16.24210231006081,1.3984021744821982,25.556179692560356,8.726262293107288,BEIDOU-3 M26 (C48),True,True,False
232.6442645276595,-23.380472170124392,0.043520670206407215,14.937764985873407,1,0,14.378150792910683,75.62184920708931,17.600557782042607,0.8487097494781684,27.693645119360678,8.303467465599919,sun,False,True,False
266.7363296385274,-15.63673026035763,0.02676873450086465,11.694346488310893,1,0,47.25095092285043,42.74904907714957,17.4427753238991,0.6704406994389227,27.445381884979273,11.489973355806374,BEIDOU-3 M1 (C19),False,True,False
183.642308498678,-20.05705937048657,0.05480991286144605,15.428675042420753,1,0,31.16598506087156,58.83401493912844,19.319739569248803,0.7985964296836873,30.398696339903942,8.566167948611906,GSAT0222 (GALILEO 26),False,True,False
149.98313995170807,-3.8378707370273752,0.021951395840505268,10.521105336079525,1,0,67.37133224718713,22.628667752812873,16.769651953619917,0.627389606246922,26.386254102274634,16.900210046145652,GPS BIII-5  (PRN 11),False,True,False
274.4905110623855,-7.088699717604629,0.03829297405586591,11.81210549263268,1,0,57.26989337376203,32.73010662623797,16.21173900284026,0.7286143386939072,25.508404464909674,9.809761292789617,BEIDOU-3 G2 (PRN 144),False,True,False
253.86269163675698,-9.395250960805361,0.10111545008526196,27.303132255537264,1,0,37.6043091547467,52.3956908452533,20.582792502904326,1.326502817908924,32.386050385428064,11.970681950141712,BEIDOU-3 M1 (C19),True,True,False
219.94157759085073,-11.735656361557846,0.050676949144462254,17.268333878348297,1,0,11.108966314033422,78.89103368596658,17.600557782042607,0.9811242400491836,27.693645119360678,6.591649100893051,GSAT0210 (GALILEO 13),False,True,False
267.4257269272298,-0.39414153313996203,0.049801528276065495,17.76031296403841,1,0,53.709859011197665,36.290140988802335,15.959980516059941,1.1128029226706675,25.112274394770935,3.1986605279811653,LUCH 5V (SDCM/PRN 141),True,False,False
242.4507764406976,-5.967323757417285,0.03357214462862363,11.872932636551853,1,0,29.55726934067217,60.44273065932783,19.00414608868007,0.6247548603945975,29.902124926595015,14.69972129216898,SES-5 (EGNOS/PRN 136),False,True,False
187.90464614875503,-3.786719334831048,0.04433966037736287,14.353469367477599,1,0,33.85998399285435,56.14001600714565,19.8482409625761,0.7231607775490582,31.23026828285831,21.81093851352293,BEIDOU-3 M12 (C26),False,True,False
165.12081146735116,6.479180735771892,0.07261957955465664,23.030667830684468,1,0,58.47656761050672,31.52343238949328,16.297072583626488,1.413178208080337,25.642672817783648,7.938921136327258,LUCH 5B (SDCM/PRN 125),True,True,False
214.54954895760625,-1.9684659473085415,0.05024414864287725,14.651149884109959,1,0,20.672640450903987,69.32735954909602,17.600557782042607,0.8324253166032128,27.693645119360678,6.457777897006123,EUTELSAT 5 WEST B (EGN*),False,True,False
202.88612341698249,3.61061680202867,0.06322816741571774,16.751660639180223,1,0,29.55056648308695,60.44943351691305,19.00283114028458,0.8815349942076766,29.900055917495084,7.6762754150726815,EUTELSAT 5 WEST B (EGN*),False,True,False
189.75515124517892,6.791119251001184,0.04927767050371518,14.944954226391374,1,0,39.64654152693592,50.35345847306408,20.580422187579646,0.7261733549572518,32.382320806386566,21.046418793446215,EUTELSAT 5 WEST B (EGN*),False,True,False
224.65949490789185,5.461039953979886,0.12372397613630642,29.978799563195537,1,0,28.932014540000615,61.067985459999385,18.88148530013392,1.5877352383386336,29.709123977981683,7.69858638228087,GPS BIIR-5  (PRN 22),True,True,True
169.38558997330395,17.749798718728417,0.06747604888782849,17.94659381615073,1,0,61.58156679876513,28.41843320123487,16.51665189592475,1.0865757739060178,25.988170479030813,8.831720007563518,LUCH 5B (SDCM/PRN 125),True,True,False
212.57242910874416,12.419831256117886,0.030151260838965084,14.123548732647905,1,0,35.192510145927336,54.807489854072664,20.109652324022264,0.7023268480766534,31.641586694678487,9.520429783971325,EUTELSAT 5 WEST B (EGN*),False,True,False
275.84023687943153,28.156497667534094,0.04014514741406789,12.867152998600089,1,0,76.02121903214572,13.978780967854277,17.086988275253187,0.7530380890607493,26.88556779355784,10.506410748258835,BEIDOU-3S IGSO-2S (C56),False,True,False
244.17901940969395,18.405769820791782,0.055904775680164005,16.557223288939618,1,0,48.74639557932668,41.25360442067332,16.82574157520042,0.9840412213000719,26.47450846865128,5.72926523884283,GSAT0215 (GALILEO 19),False,True,False
171.38595875705894,33.24242316762678,0.05440218356356969,20.721248987706694,1,0,70.71743420824592,19.28256579175408,16.915147329058552,1.2250114400191854,26.615184193229858,15.684874401610317,GPS BIII-8  (PRN 21),True,True,False
272.5726933053224,43.822957228817316,0.04942946118221631,18.93752311935607,1,0,83.54566287662074,6.454337123379261,17.22819108351428,1.0992171509797948,27.107743733108432,5.110645127330907,GSAT0225 (GALILEO 29),True,True,False
198.1243183888815,32.39132562027804,0.04220496100292554,13.856292994089639,1,0,57.793347775695175,32.206652224304825,16.24875664781441,0.852760201560002,25.566649978248716,6.733778416439881,BEIDOU-3 M23 (C45),False,True,False
230.76866740349274,42.86062501768556,0.08444011193619122,21.521112295630587,1,0,66.56967782456343,23.430322175436572,16.73479437529473,1.2860099630146524,26.331407351631142,2.9752523870949146,BEIDOU-3 M4 (C22),True,False,False
209.95825626757107,60.67346359291596,0.06753557902679791,21.081597259756073,1,0,83.37094163577598,6.629058364224022,17.22819108351428,1.2236686462068054,27.107743733108432,10.58183622552885,GPS BIIF-5  (PRN 30),True,True,False
220.67481443960833,-31.291942874655643,0.04548689862952445,28.19615508729692,1,0,9.366723229866732,80.63327677013326,17.600557782042607,1.602003495370171,27.693645119360678,14.811729475922483,sun,True,True,True
264.04763403290275,-28.595744961497832,0.04057918264109412,25.67271331721461,1,0,42.571124289844164,47.428875710155836,19.373713361705118,1.3251312661598655,30.48362154923772,5.91081322270193,GPS BIIRM-1 (PRN 17),True,True,False
263.1224734347602,-23.24532012684444,0.037109431548874396,22.20938047302391,1,0,42.27081079282164,47.72918920717836,19.49762537814125,1.1390813005322586,30.678591245749715,11.314214745055105,GPS BIIRM-1 (PRN 17),True,True,False
167.54309629142423,-44.58321983635411,0.036686881784876724,22.70590296321484,1,0,45.90417282813953,44.09582717186047,17.9984679286678,1.2615464301297044,28.31973791292395,20.337153835391696,GSAT0218 (GALILEO 22),True,True,False
187.24101092201641,-43.81086301599547,0.03625449266012286,21.13444816520992,1,0,32.50190724968824,57.49809275031176,19.58181715576322,1.0792894243213653,30.81106302535489,14.631550209314268,GPS BIIF-6  (PRN 06),True,True,False
263.83190517465397,-28.665136487534767,0.03428721051571648,25.650436654352507,1,0,42.37858136139125,47.62141863860875,19.45315828426659,1.3185744072775154,30.608624376943396,5.893045095876567,GPS BIIRM-1 (PRN 17),True,True,False
