name,ra_deg,dec_deg,amp,sigma,snr,above_threshold
GSAT-8_(GAGAN/PRN_127),297.1307271123694,2.6897342770699217,0.03625897588936206,0.012649176103545025,2.8665089008603664,False
GSAT-10_(GAGAN/PRN_128) [+2 blended],277.66372928289195,3.5499404258311182,0.10893158755598197,0.007091283234454869,15.361336440026697,False
GSAT-15_(GAGAN/PRN_139) [+1 blended],270.06383165572294,3.529637397193274,0.02164010042835998,0.004819774509164603,4.489857437772705,False
QZS-3_(QZSS/PRN_199) [+1 blended],263.69574902004354,4.070758140761523,0.012612179077461812,0.006523175150073343,1.9334417346313335,False
QZS-4_(QZSS/PRN_195),311.80271974948994,-27.55725868011176,0.035778519708720855,0.0020040301558847218,17.853284095381124,True
BEIDOU-3_G2_(PRN_144),279.7840087997775,2.157181665076846,0.027094125792777323,0.008518905966134343,3.180470109716674,False
QZS-1R_(QZSS/PRN_196),259.8069689375286,10.309340847037683,0.010471312826206034,0.001996472042694052,5.244908319415272,False
QZS-6_(QZSS/PRN_200),274.18984938233365,3.934989689913939,0.02981373093070759,0.004732851513037412,6.299316775221197,False
GPS_BIIR-5__(PRN_22),231.72836478572864,16.33662394341697,0.013963835683275114,0.00198843336575144,7.02253136755131,False
GPS_BIIR-11_(PRN_19),250.2696675133888,-49.33394530361668,0.00818272545312032,0.0019716547089044965,4.150181781913964,False
GPS_BIIRM-1_(PRN_17),269.16005470287786,-30.083530392842192,0.028584741632066608,0.0020603411772617142,13.87379039332554,False
GPS_BIIRM-3_(PRN_12),122.14607769352816,-51.81768868249536,0.00898089171596793,0.001999784546672944,4.49092965085139,False
GPS_BIIRM-8_(PRN_05),178.00663122697122,45.734513056348206,0.006199456433404425,0.0020532206688876446,3.0193814660764398,False
GPS_BIIF-6__(PRN_06),208.8490033531676,-58.2320672091783,0.004036673328408597,0.002040829323110676,1.9779573346465902,False
GPS_BIIF-7__(PRN_09),288.99744953813223,5.530242805170765,0.0114287642986056,0.002088957006337058,5.47103854408459,False
GPS_BIII-1__(PRN_04) [+1 blended],308.9458834243358,-15.843314740595348,0.010490191916537325,0.003185107117652678,3.293513068492422,False
GPS_BIII-4__(PRN_14),235.2610433566436,26.600464572780616,0.03194084114978974,0.002030111216851822,15.733542519567836,False
GPS_BIII-5__(PRN_11),165.64838777719973,-19.166763967909876,0.04898614931043692,0.001978067916346996,24.76464478575754,True
GPS_BIII-8__(PRN_21),190.7031065336037,39.85507859567527,0.014079719423242943,0.0020987583985134077,6.708594678270681,False
GSAT0102_(GALILEO-FM2),147.50685185093752,19.17079691850959,0.007025672375144871,0.0020070581017414485,3.5004828056790984,False
GSAT0203_(GALILEO_7),236.16889539447143,-61.24607331484327,0.012849684080698058,0.0020304362304655,6.3285336854692185,False
GSAT0210_(GALILEO_13),224.09291462410303,-1.5892665235271304,0.012301968852500194,0.001989325430944505,6.1839901411502005,False
GSAT0207_(GALILEO_15) [+1 blended],299.37117807912625,2.9485724931689585,0.03489683802613005,0.017227322634783312,2.0256681067591202,False
GSAT0215_(GALILEO_19),240.52660370628,21.11247244740003,0.023536765177101886,0.002070342727865788,11.36853568267161,False
GSAT0218_(GALILEO_22),146.29323400996194,-53.119618429025365,0.012427240819149211,0.0020876127975662695,5.952847593977599,False
GSAT0222_(GALILEO_26),176.84836999334726,-25.13957728942004,0.01231465167335318,0.0019824001867404695,6.211990775485829,False
GSAT0220_(GALILEO_24),320.6228561187428,-42.959958039697646,0.013231278548246683,0.0020091837845509775,6.585399827524328,False
GSAT0225_(GALILEO_29),269.13117090032347,43.22796846593473,0.014851609314389806,0.001995766061077433,7.441558208667015,False
GSAT0226_(GALILEO_31),206.4166416957115,-23.890792298376397,0.004791530922694176,0.0019839616043480462,2.415132889766146,False
BEIDOU-2_IGSO-2_(C07) [+1 blended],285.1284365934566,7.725253975476666,0.026193025619538516,0.005319785589643922,4.923699494680525,False
BEIDOU-2_IGSO-3_(C08),296.6221208980237,-59.28020712418372,0.014137986754871885,0.002045966219486739,6.910176043091567,False
BEIDOU-2_G5_(C05),291.74735422217145,1.682293657600972,0.02497601423553264,0.004989442866808283,5.005772167807113,False
BEIDOU-2_M4_(C12),131.70947004179183,-14.43870269393398,0.017083650488858654,0.002032881867376701,8.403661207772968,False
BEIDOU-3S_M1S_(C57) [+1 blended],214.58491101568816,-63.52073732855567,0.009987979571603713,0.0024601545184632016,4.0598992854493385,False
BEIDOU-3S_IGSO-2S_(C56),288.04850892969165,25.28808434786622,0.013240303584915486,0.0020176753004414244,6.562157737678996,False
BEIDOU-2_IGSO-6_(C13),291.249119861396,-56.70053951722389,0.0028585326200114705,0.0020504485158676766,1.3941011431841983,False
BEIDOU-3_M1_(C19),267.24458619403646,-8.364444568502462,0.03220499232622295,0.001999283023853394,16.10827078606982,True
BEIDOU-3_M2_(C20),305.7872784004024,-41.566156090644135,0.016427883348399855,0.0020169468219531444,8.144926365729185,False
BEIDOU-3_M4_(C22),235.45387705323657,36.56092553279437,0.015409934344372453,0.002075486088944774,7.4247350663801495,False
BEIDOU-3_M9_(C29),294.5227016447493,-29.93270451034571,0.004657379791920173,0.002023531060421318,2.3016102312511397,False
BEIDOU-3_M6_(C24),131.98442591710784,-39.712356645727546,0.021250657025140833,0.0019590438848002445,10.84746349483012,False
BEIDOU-3_M12_(C26),170.1304095983254,-7.825764495920879,0.02312043283375505,0.0020341268662002255,11.366268848778498,False
BEIDOU-3_IGSO-1_(C38),280.2375789003707,-52.721638378307375,0.008201351639463214,0.0020327503815092385,4.034608338567389,False
BEIDOU-3_M23_(C45),208.67937748152312,38.53062655285085,0.010279404077240185,0.002026954878127878,5.071353185096245,False
BEIDOU-3_M22_(C44),147.4738370537034,-37.62143499402014,0.007826802463065736,0.0020627146700836624,3.7944183830080025,False
BEIDOU-3_G2_(C60),282.6170883617854,1.6909868458276234,0.012833261349928259,0.0030772769520639952,4.170330311453026,False
BEIDOU-3_M26_(C48),287.42765545855434,-30.177913880398844,0.013028780005749932,0.0020113978300322615,6.477475420931999,False
Sun,226.4500567377293,-17.441193773415453,0.09893989044234874,0.002027634720770261,48.79571721121608,True
3C274,187.7058115834913,12.391068430418663,0.004687284057205501,0.0019625901430740146,2.3883152953493307,False
J1830-3602,277.7458256917556,-36.041672484703824,0.009845505731953664,0.0020298031032830056,4.850473287793053,False
UNMODELLED:ASTRA 5B (EGNOS/PRN 123),295.0124974791058,3.2229027394562944,0.030178686649664305,0.006229456653952127,4.844513466598755,False
UNMODELLED:BEIDOU-2 G6 (C02),278.592879570549,2.3989154505614434,0.028595864768816183,0.01038566714357374,2.753397001223001,False
UNMODELLED:BEIDOU-2 G7 (C03),271.3233272317719,3.3510745172992586,0.036864480683382814,0.009080647834626398,4.059675185597539,False
UNMODELLED:BEIDOU-2 IGSO-5 (C10),285.60342728010335,8.602327910959373,0.019249688500325258,0.005264680730289447,3.656382881790997,False
UNMODELLED:BEIDOU-3 G3 (C61),276.7947189507905,2.885894201035204,0.1297932751466647,0.008669511543089358,14.971232750722331,False
UNMODELLED:BEIDOU-3 G3 (PRN 143),263.1474840913756,3.4623789577850532,0.019080875574369344,0.00654009123700026,2.9175243712840246,False
UNMODELLED:BEIDOU-3 G4 (C62),300.5221601351348,2.8435514950554035,0.022641054717345014,0.009142295414443464,2.476517514581242,False
UNMODELLED:BEIDOU-3 M16 (C35),211.50018893711854,-62.527035508726264,0.029148735567793876,0.0023990570330755857,12.150080288181087,False
UNMODELLED:BEIDOU-3 M25 (C47),307.9790551697511,-14.994632283124432,0.00818917314076527,0.003104335246392902,2.637979628740395,False
UNMODELLED:EUTELSAT 5 WEST B (EGN*),212.74344092531487,3.1080030111885586,0.019760780697191744,0.0020102937790558817,9.82979746695144,False
UNMODELLED:INMARSAT 4-F2 (SOUTHPA*),291.0716127946123,-0.7986384161466061,0.019288845263776496,0.0028507903020514526,6.766139638505183,False
UNMODELLED:LUCH 5B (SDCM/PRN 125),163.5600078060263,13.30867352425391,0.004140413109995663,0.0020392558653071742,2.0303548860319154,False
UNMODELLED:LUCH 5V (SDCM/PRN 141),270.09475269698663,2.5723447086731603,0.028071308828281533,0.0060312421099421405,4.654316360805292,False
UNMODELLED:SES-5 (EGNOS/PRN 136),256.14175953736515,3.2014028208890113,0.010597223404746755,0.0019865040049446333,5.334609635001524,False
